"Callback comments","Callback Kommentare"
"Transaction mode","Transaktionsmodus"
"Bank account details to transfer the amount","Bankverbindung zur Überweisung des Betrages"
"Guarantee payment pending comments","Zahlungsgarantie in Erwartung von Kommentaren"
"Transaction ID","Transaktions-ID"
"Payment method","Zahlungsart"
"novalnetCreditCard","Kredit-/Debitkarte"
"novalnetSepa","SEPA-Lastschrift"
"novalnetInvoice","Rechnung"
"novalnetPrepayment","Vorkasse"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofortüberweisung"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

