"Callback comments","Callback comments"
"Transaction mode","Transaction mode"
"Bank account details to transfer the amount","Bank account details to transfer the amount"
"Transaction ID","Transaction ID"
"Payment method","Payment method"
"novalnetCreditCard","Credit/Debit Cards"
"novalnetSepa","Direct Debit SEPA"
"novalnetInvoice","Invoice"
"novalnetPrepayment","Prepayment"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

